,english_percentiles,scottish_percentiles,welsh_percentiles
0,2.37,2.210738,3.4
1,2.97,2.730377,3.8
2,3.42,3.123892,4.6
3,3.82,3.433819,5.0
4,4.19,3.7876,5.4
5,4.5,4.097632,5.7
6,4.84,4.343503,6.0
7,5.15,4.6423,6.4
8,5.47,4.907554,6.6
9,5.77,5.173929,7.0
10,6.06,5.418134,7.3
11,6.34,5.664173,7.6
12,6.63,5.921685,8.0
13,6.9,6.183716,8.2
14,7.16,6.419707,8.4
15,7.42,6.639539,8.8
16,7.69,6.891099,9.1
17,7.97,7.187961,9.3
18,8.22,7.471722,9.5
19,8.49,7.756682,9.8
20,8.74,8.053449,10.0
21,9.0,8.344445,10.3
22,9.26,8.64912,10.5
23,9.49,8.932018,10.7
24,9.75,9.168793,10.9
25,9.98,9.435586,11.2
26,10.24,9.790273,11.5
27,10.48,10.085441,11.7
28,10.72,10.393158,12.1
29,10.99,10.722689,12.3
30,11.25,11.020928,12.5
31,11.53,11.312391,12.7
32,11.8,11.587663,12.9
33,12.08,11.86331,13.2
34,12.35,12.172181,13.5
35,12.65,12.482886,13.7
36,12.94,12.835238,14.0
37,13.2,13.138681,14.2
38,13.48,13.445935,14.5
39,13.78,13.758822,14.7
40,14.06,14.014562,15.0
41,14.35,14.373845,15.3
42,14.71,14.643355,15.5
43,15.06,14.919986,15.8
44,15.42,15.213008,16.3
45,15.77,15.503475,16.6
46,16.16,15.819481,17.0
47,16.52,16.158602,17.2
48,16.89,16.557496,17.5
49,17.24,16.961978,17.8
50,17.63,17.372134,18.2
51,17.98,17.72422,18.5
52,18.38,18.07752,18.8
53,18.77,18.487902,19.0
54,19.17,18.906765,19.3
55,19.59,19.333165,19.6
56,20.03,19.861949,20.0
57,20.46,20.213843,20.4
58,20.89,20.577657,20.7
59,21.34,21.015509,21.2
60,21.8,21.548531,21.5
61,22.29,22.064543,21.9
62,22.8,22.514918,22.3
63,23.33,22.979153,22.7
64,23.84,23.470876,23.1
65,24.38,24.026175,23.7
66,24.91,24.416547,24.4
67,25.49,24.946601,25.0
68,26.15,25.597471,25.4
69,26.76,26.194581,26.0
70,27.4,26.758366,26.5
71,28.06,27.367316,27.0
72,28.75,28.017412,27.7
73,29.43,28.709416,28.2
74,30.17,29.565317,29.0
75,30.91,30.355624,29.7
76,31.68,31.107502,30.3
77,32.46,31.91035,31.1
78,33.25,32.965837,31.7
79,34.16,33.723349,32.5
80,35.12,34.747973,33.0
81,36.06,35.935926,33.5
82,36.93,36.825095,34.3
83,37.93,37.779767,35.2
84,38.98,38.860863,36.3
85,40.04,40.086843,37.5
86,41.12,41.228942,38.9
87,42.26,42.768127,39.9
88,43.51,44.084544,41.1
89,44.87,45.594064,42.7
90,46.28,47.43759,43.8
91,47.86,49.132613,44.8
92,49.5,51.350229,46.0
93,51.31,54.146656,48.5
94,53.48,56.797944,50.8
95,55.7,59.695653,54.4
96,58.54,63.019499,57.8
97,62.22,67.159615,62.0
98,67.75,74.327902,68.3
99,87.8,90.048914,81.9
